Rank,College Name,Undergraduate Tuition & Fees($),Graduate Tuition & Fees($),SAT Score,Acceptance Rate,Population,Graduation Rate,Student:Faculty Ratio
69,"University of UtahSalt Lake City, UT",29837,27056,1280,0.87,35260,0.64,18.00
70,"North Carolina State University at RaleighRaleigh, NC",31767,31793,1380,0.4,37323,0.85,15.00
71,"University of DelawareNewark, DE",39720,19546,1290,0.65,24221,0.79,15.00
72,"Marquette UniversityMilwaukee, WI",48700,23845,1280,0.87,11373,0.8,13.00
73,"University of Oklahoma-Norman CampusNorman, OK",26665,25342,1220,0.77,29145,0.75,17.00
74,"Michigan State UniversityEast Lansing, MI",44040,41224,1250,0.84,51316,0.82,17.00
75,"Duquesne UniversityPittsburgh, PA",47146,26568,1250,0.79,8137,0.76,12.00
76,"University of DenverDenver, CO",59340,58347,1320,0.71,13387,0.78,10.00
77,"University of GeorgiaAthens, GA",30220,26576,1270,0.37,41615,0.87,17.00
78,"University of Illinois ChicagoChicago, IL",31505,28641,1230,0.79,33522,0.6,17.00
79,"University of Massachusetts-AmherstAmherst, MA",39293,34720,1390,0.58,31810,0.83,18.00
80,"Worcester Polytechnic InstituteWorcester, MA",58870,29040,-,0.59,7353,0.88,13.00
81,"University of Alaska FairbanksFairbanks, AK",26404,25703,-,-,6640,0.32,12.00
82,"St. John's University-New YorkQueens, NY",49911,34246,1210,0.8,19691,0.68,16.00
83,"Fordham UniversityBronx, NY",61567,25954,1400,0.56,16153,0.8,14.00
84,"University of Nevada-RenoReno, NV",25950,23540,-,0.85,21778,0.62,16.00
85,"Yeshiva UniversityNew York, NY",49900,35150,1410,0.64,6826,0.84,7.00
86,"University of Missouri-ColumbiaColumbia, MO",34338,31029,1230,0.77,31013,0.76,17.00
87,"University of California-San DiegoLa Jolla, CA",46042,29637,-,0.25,42376,0.88,19.00
88,"University of Minnesota-Twin CitiesMinneapolis, MN",36402,31555,1400,0.77,54890,0.85,16.00
89,"Augusta UniversityAugusta, GA",23500,20002,1110,0.89,9862,0.49,16.00
90,"University of Missouri-Kansas CityKansas City, MO",30734,30760,1440,0.75,15277,0.56,14.00
91,"University of Washington-Seattle CampusSeattle, WA",41997,32511,-,0.43,55620,0.84,20.00
92,"University of KentuckyLexington, KY",33406,35459,1170,0.92,32703,0.7,17.00
93,"University of New Hampshire-Main CampusDurham, NH",38882,30138,1220,0.87,13626,0.76,16.00
94,"University of California-Santa BarbaraSanta Barbara, CA",45742,29555,-,0.28,26068,0.85,17.00
95,"Louisiana State University and Agricultural & Mechanical CollegeBaton Rouge, LA",28631,29962,1235,0.74,39418,0.71,20.00
96,"University of HoustonHouston, TX",22191,19109,1230,0.7,46676,0.65,21.00
97,"Baylor UniversityWaco, TX",54844,41130,1290,0.51,20824,0.8,15.00
98,"Loyola University ChicagoChicago, IL",51716,22305,1250,0.81,17397,0.77,13.00
99,"Florida State UniversityTallahassee, FL",21683,26707,1310,0.25,43234,0.83,17.00
100,"University of VermontBurlington, VT",43890,32996,1340,0.6,14320,0.79,17.00
101,"University of DaytonDayton, OH",47600,19040,1290,0.62,11304,0.82,15.00
102,"University of Hawaii at ManoaHonolulu, HI",34218,34550,1120,0.7,19256,0.63,14.00
103,"University of California-DavisDavis, CA",46024,29662,-,0.42,39707,0.85,21.00
104,"University of Rhode IslandKingston, RI",35804,31952,1160,0.77,17351,0.71,17.00
105,"University of Massachusetts-LowellLowell, MA",35396,28426,1250,0.85,16770,0.7,17.00
106,"Ohio State University-Main CampusColumbus, OH",38365,41227,1400,0.51,60046,0.88,18.00
107,"University of California-IrvineIrvine, CA",45014,29377,-,0.26,36582,0.86,18.00
108,"University of TulsaTulsa, OK",48102,26928,1335,0.58,3559,0.73,9.00
109,"University of Nebraska-LincolnLincoln, NE",27748,20318,1200,0.77,23986,0.66,16.00
